i,j,c(ij),d(ij)
0,3,0.802597339,2.437690737
0,4,0.226937627,1.441639961
0,5,0.704503157,4.712866913
0,6,0.770407193,2.32484162
0,7,0.518352455,0.888612616
0,8,0.241086905,3.868561329
0,9,0.495891454,0.760162459
0,10,0.244736104,3.283731511
0,11,0.970589503,0.265794758
0,12,0.460093207,2.788926035
0,13,0.572824399,3.779909145
0,14,0.321109484,1.34896985
0,15,0.435022728,1.788510684
0,18,0.899953134,3.631355445
0,19,0.887677351,3.700085606
0,20,0.829497455,3.873147553
0,21,0.947641858,2.164441215
0,22,0.990393992,4.698930884
0,23,0.014865706,2.589136011
0,24,0.289318453,2.043199549
0,25,0.091119733,0.622098649
0,26,0.837384145,3.709380183
0,27,0.145049186,2.248889245
0,28,0.792679312,3.860816282
0,29,0.192826476,4.706633888
0,30,0.200939725,1.566528632
0,31,0.324385784,1.959951383
0,32,0.893142746,3.599321677
0,33,0.249354904,4.451600213
0,35,0.189547858,4.620268611
0,36,0.782277506,1.862574131
0,37,0.258761576,1.230534202
0,38,0.579787354,3.189785643
0,39,0.477286343,4.074695768
0,41,0.706799603,4.313491979
0,42,0.494246734,1.282310801
0,43,0.227393052,2.070593621
0,46,0.129459612,2.740684099
0,47,0.840687342,1.238169372
0,48,0.226135907,0.346510903
0,49,0.253869005,2.626204151
1,0,0.578024137,1.282798999
1,2,0.947800342,2.820025025
1,4,0.362091204,1.555985325
1,5,0.323235111,2.558828026
1,6,0.342416791,4.596175383
1,7,0.45635075,0.521890516
1,8,0.915073653,1.492356663
1,9,0.578036276,0.117855606
1,10,0.54994965,3.170684306
1,12,0.31468337,4.260152603
1,13,0.3400369,4.235945483
1,14,0.452059416,4.885541853
1,15,0.805206363,0.981159459
1,16,0.902347496,0.62559349
1,17,0.814811501,3.212327403
1,19,0.217213453,3.677344047
1,21,0.933702062,4.361395785
1,23,0.30290646,3.355671277
1,24,0.326476322,0.902034039
1,25,0.472336679,2.094492127
1,26,0.101232156,2.755515389
1,27,0.516174217,3.74742293
1,28,0.94687029,4.245931862
1,29,0.118024471,4.631926988
1,30,0.967712978,4.627083397
1,32,0.408909793,3.269504769
1,33,0.251114206,3.254401627
1,34,0.541244938,2.105682122
1,35,0.095975333,3.522287905
1,37,0.333906625,1.853306763
1,38,0.762221577,4.477857048
1,39,0.298874898,1.477426503
1,40,0.73929274,2.622350576
1,41,0.282568518,1.692679243
1,42,0.752449687,2.600307305
1,43,0.719302882,3.342428586
1,44,0.576635564,1.271612129
1,45,0.46112535,2.287082194
1,46,0.225453076,2.76766231
1,47,0.10391381,3.410921095
1,48,0.511609128,2.980182627
1,49,0.344762208,3.617678847
2,0,0.843880546,0.531833491
2,1,0.113508625,2.203970729
2,3,0.08703536,2.495551406
2,4,0.334580182,4.255624887
2,5,0.547972331,3.194889582
2,6,0.737915889,1.052800215
2,7,0.632030841,1.271107357
2,9,0.256040292,0.657362273
2,10,0.078732361,0.997319641
2,11,0.665461344,1.325910471
2,12,0.116168396,3.380720251
2,13,0.785235271,2.041490001
2,14,0.624471717,4.408894364
2,15,0.902708975,2.535240137
2,16,0.438136952,3.996262585
2,17,0.459768427,3.289918059
2,18,0.639611465,4.538599593
2,20,0.106044861,1.803664177
2,21,0.851073589,1.625242524
2,22,0.594152365,4.285555569
2,23,0.689998033,3.219053188
2,24,0.068566799,2.166845836
2,25,0.281205959,4.13370481
2,26,0.150140499,1.104527815
2,27,0.325888152,1.023514525
2,28,0.383016161,2.902977354
2,29,0.929894724,4.009799801
2,30,0.468821289,2.024623055
2,32,0.563196763,0.015826311
2,33,0.421013162,2.92147124
2,34,0.411779034,4.484005851
2,35,0.069238134,3.010947637
2,36,0.678197986,0.090662643
2,37,0.4863892,1.660417109
2,38,0.205019512,4.980064762
2,39,0.753998935,1.47445102
2,40,0.020000967,3.445999411
2,41,0.88373726,0.78976481
2,42,0.540589325,3.203657455
2,43,0.836171492,2.502687963
2,44,0.500019449,0.243096004
2,45,0.13267836,4.977059395
2,46,0.48080838,1.051561585
2,48,0.216746017,2.452101154
2,49,0.549888397,1.318672732
3,0,0.009502008,3.43202567
3,1,0.687512491,1.07629193
3,2,0.794705567,0.511618573
3,4,0.560964298,4.296288444
3,5,0.349990303,4.928362306
3,6,0.675666723,1.035674018
3,7,0.393453247,4.473297499
3,8,0.966710444,0.32712759
3,9,0.904484483,4.793854908
3,10,0.43387714,0.583763221
3,14,0.804743617,0.852834304
3,15,0.244912819,3.634287655
3,16,0.928719351,2.768631279
3,17,0.668340866,2.279483393
3,18,0.000579628,3.882149044
3,19,0.642694462,4.817843374
3,20,0.379853774,4.036529607
3,21,0.647595014,1.048298514
3,22,0.116176642,4.180170536
3,23,0.344367592,4.818089458
3,24,0.939123872,3.76528371
3,25,0.570628522,3.13859728
3,26,0.50782598,4.984746471
3,27,0.674611407,2.124322242
